"node_id","segment_id","longtitude","latitude"
"78366_18",78366,-74.0080162264315,40.7031410258415
"78366_19",78366,-74.008026843384,40.7031395890586
"78366_20",78366,-74.0080373486794,40.7031377351399
"78366_21",78366,-74.0080477123803,40.7031354682757
"78366_22",78366,-74.0080579078516,40.7031327953364
"78366_23",78366,-74.0080679073575,40.7031297231928
"78366_24",78366,-74.0080776836025,40.703126260223
"78366_25",78366,-74.0080872112728,40.7031224158104
"72807_1",72807,-73.9767446760213,40.7591647377767
"72807_2",72807,-73.9779885162658,40.759689561972
"80043_1",80043,-73.990944841294,40.7339776924958
"80043_2",80043,-73.9898685213956,40.7335271145549
"105_1",105,-74.0014193471629,40.7098147957719
"105_2",105,-74.0012825859855,40.7099940529703
"119450_1",119450,-74.0160566080584,40.708800951735
"119450_2",119450,-74.0159505592248,40.7086740216801
"119450_3",119450,-74.0161743281356,40.7080370649591
"119450_4",119450,-74.0161669811913,40.7079046152353
"3150_1",3150,-73.9602364551024,40.8181230690824
"3150_2",3150,-73.9599968262278,40.818447570675
"66163_1",66163,-73.9764540193187,40.714948521934
"66163_2",66163,-73.9763995493379,40.7149310765889
"66163_3",66163,-73.9763440255688,40.7149169724933
"170650_1",170650,-73.9864899277797,40.7732002496915
"170650_2",170650,-73.9864438844386,40.7731491568693
"160709_1",160709,-73.9833201870461,40.7166705603184
"160709_2",160709,-73.9832539943499,40.7168310784813
"90968_1",90968,-74.005830586405,40.7116550844511
"90968_2",90968,-74.0050481586831,40.7109355324967
"145631_1",145631,-73.987829524147,40.7227667387323
"145631_2",145631,-73.9877128933208,40.7227324503737
"145631_3",145631,-73.9871877799795,40.722578068004
"145631_4",145631,-73.9870978746597,40.722551635311
"3948_1",3948,-73.9869496971728,40.7209830033711
"3948_2",3948,-73.9861576647145,40.7207449332103
"67444_1",67444,-73.9902101254684,40.7192428667219
"67444_2",67444,-73.9895854702288,40.7204368156668
"89938_1",89938,-74.0021734169366,40.7229294263179
"89938_2",89938,-74.0011270439895,40.7241664169121
"3662_1",3662,-73.9634015414979,40.7659111910351
"3662_2",3662,-73.9629286583183,40.766558627947
"77163_1",77163,-73.9300880854739,40.801067846383
"77163_2",77163,-73.9302165188009,40.8012829916143
"899_1",899,-73.9928059038586,40.7683824393227
"899_2",899,-73.9923496957343,40.769004972927
"81542_1",81542,-73.9366907872221,40.8371932485274
"81542_2",81542,-73.9363831692532,40.837850124551
"82479_1",82479,-73.9133519751118,40.868777137257
"82479_2",82479,-73.9152005809962,40.8695584262504
"2698_1",2698,-73.9493736673077,40.776875748389
"2698_2",2698,-73.9488804201684,40.7775532846913
"147544_1",147544,-73.9982911984643,40.7655210727587
"147544_2",147544,-73.9982829779036,40.7655214948013
"147544_3",147544,-73.9982747384049,40.7655214918303
"147544_4",147544,-73.9982665185272,40.7655210646839
"147544_5",147544,-73.9982583548465,40.7655202147027
"147544_6",147544,-73.9982502863626,40.7655189460757
"147544_7",147544,-73.9982423496514,40.7655172650018
"147544_8",147544,-73.998234580187,40.7655151783501
"147544_9",147544,-73.9982270152063,40.7655126965078
"25135_1",25135,-73.928459948611,40.8656320362529
"25135_2",25135,-73.9280577039565,40.8661993632362
"140865_1",140865,-73.997504453294,40.7140691318646
"140865_2",140865,-73.9974864308966,40.7140160961305
"16609_1",16609,-73.9947885367164,40.7315958435055
"16609_2",16609,-73.9940355757844,40.7312761445478
"23309_1",23309,-73.9601095519654,40.7704322109654
"23309_2",23309,-73.9578667927061,40.7694840476778
"1214_1",1214,-74.0020320230523,40.7381304605531
"1214_2",1214,-74.0024055408768,40.7387612407622
"128904_1",128904,-74.0156933805346,40.707304277964
"128904_2",128904,-74.0158498551456,40.7072472679981
"128904_3",128904,-74.0159949567623,40.7071678963765
"19651_1",19651,-73.9348767451414,40.8477544189
"19651_2",19651,-73.9347745459667,40.8478902093599
"79855_1",79855,-73.993616883955,40.736004491616
"79855_2",79855,-73.9968399392649,40.7373608888956
"2793_1",2793,-73.9844760937877,40.7798080435843
"2793_2",2793,-73.9839782798236,40.7804895749833
"2231_1",2231,-73.9854438994356,40.7316578067601
"2231_2",2231,-73.9849455060001,40.7323496723154
"2789_1",2789,-73.9825900007878,40.7823929075943
"2789_2",2789,-73.9821258857426,40.7830270958483
"132051_1",132051,-74.0085600173416,40.7447584233237
"132051_2",132051,-74.0085359719845,40.7448633355608
"132051_3",132051,-74.0085081075465,40.7449580385227
"132051_4",132051,-74.0084616788592,40.7452167027644
"132051_5",132051,-74.008411535547,40.7454923287755
"133030_1",133030,-73.9426794198892,40.8494877397588
"133030_2",133030,-73.9427338269083,40.8492652809991
"133030_3",133030,-73.9429748268635,40.8483306987418
"24914_1",24914,-73.9198462387724,40.859897779263
"24914_2",24914,-73.9193797567272,40.8605271669812
"1736_1",1736,-74.0000195282756,40.7566249255539
"1736_2",1736,-74.0010542728067,40.7570663730203
"79909_1",79909,-73.9998403143768,40.7191929802325
"79909_2",79909,-74.0006222701595,40.7195524531795
"118592_1",118592,-73.9358285809788,40.8145024859301
"118592_2",118592,-73.9352418359118,40.8142422970544
"506_1",506,-74.0049761289695,40.715759939393
"506_2",506,-74.0045335011009,40.716279912561
"134306_1",134306,-73.9310448939653,40.8424055433767
"134306_2",134306,-73.9310040026819,40.8424025584451
"781_1",781,-74.0031611045922,40.7062320143515
"781_2",781,-74.0036053797814,40.706780592909
"891_1",891,-73.9964570710192,40.7633762104938
"891_2",891,-73.9960020481203,40.7639996802802
"78609_1",78609,-73.9998694267475,40.7085695147982
"78609_2",78609,-73.9997589956461,40.7084838220176
"78609_3",78609,-73.9994951176654,40.7082790717682
"131606_1",131606,-73.9350843948776,40.8267843982609
"131606_2",131606,-73.9350791065172,40.8267984492201
"131606_3",131606,-73.9350743541797,40.8268126103767
"131606_4",131606,-73.9350701414058,40.8268268695034
"131606_5",131606,-73.9350664721768,40.826841215211
"131606_6",131606,-73.935063349372,40.8268556352717
"131606_7",131606,-73.9350607754292,40.8268701177929
"131606_8",131606,-73.9350587523452,40.8268846508815
"131606_9",131606,-73.9350572825584,40.8268992223095
"131606_10",131606,-73.9350563665225,40.8269138193455
"131606_11",131606,-73.9350560053515,40.8269284309335
"131606_12",131606,-73.9350561992791,40.8269430438392
"131606_13",131606,-73.9350569474346,40.8269576466705
"131606_14",131606,-73.9350582504919,40.826972227366
"131606_15",131606,-73.9350601066999,40.8269867726904
"131606_16",131606,-73.9350625147464,40.8270012715862
"131606_17",131606,-73.9350654724381,40.8270157121579
"131606_18",131606,-73.9350689778029,40.8270300816726
"131606_19",131606,-73.9350730266627,40.8270443678986
"198_1",198,-73.9995526044864,40.7630751922967
"198_2",198,-73.9993793110132,40.7631944631501
"198_3",198,-73.9992208216015,40.7633261702855
"198_4",198,-73.9990793613875,40.7634686378532
"198_5",198,-73.9989566732578,40.7636199127482
"95929_1",95929,-73.9857522404963,40.7230093857069
"95929_2",95929,-73.9834436361881,40.7220185073048
"172361_1",172361,-74.0037102263751,40.7534144982309
"172361_2",172361,-74.0033893643977,40.7538554779714
"172361_3",172361,-74.003361727984,40.7538949839273
"172361_4",172361,-74.0030053724797,40.7543818787883
"172361_5",172361,-74.0027459567657,40.7547387104368
"172361_6",172361,-74.0025445366703,40.7550158278362
"172361_7",172361,-74.0024725416573,40.7551154790509
"117292_1",117292,-73.9499836512209,40.7988201837812
"117292_2",117292,-73.9500822793693,40.7988609307284
"117292_3",117292,-73.9506433116655,40.7990927148374
"19702_1",19702,-73.9528073035187,40.8058702147096
"19702_2",19702,-73.9528111153638,40.8059340920996
"19702_3",19702,-73.9528143474353,40.8059882472905
"19702_4",19702,-73.9528573723594,40.8067091393913
"2037_1",2037,-73.9934272758431,40.724507446516
"2037_2",2037,-73.9930419813149,40.7254516165279
"153224_1",153224,-73.9751486692231,40.7372432198655
"153224_2",153224,-73.9751328100801,40.7372623072495
"3918_1",3918,-73.9267993789616,40.8537171444619
"3918_2",3918,-73.9246919996523,40.8566419972497
"160527_1",160527,-73.9994405769272,40.7572050733821
"160527_2",160527,-74.0005842214119,40.7576928757439
"4033_1",4033,-73.9886704685234,40.7176495884992
"4033_2",4033,-73.9894734200691,40.7178931266331
"81618_1",81618,-73.9427536722824,40.805744012292
"81618_2",81618,-73.9443019458717,40.8063908240784
"2337_1",2337,-73.9578126995198,40.7795429500275
"2337_2",2337,-73.9573065330211,40.7802231381316
"67529_1",67529,-73.9306119621807,40.8451823319619
"67529_2",67529,-73.9305921636979,40.8455301260827
"2629_1",2629,-73.9683659920133,40.7507386399274
"2629_2",2629,-73.9679253135265,40.7513462063842
"165577_1",165577,-73.9920749529498,40.7102301361148
"165577_2",165577,-73.9920496642397,40.7100551497164
"1933_1",1933,-73.9854960226906,40.7471523294461
"1933_2",1933,-73.9850457767839,40.747773017631
"89836_1",89836,-74.0044668371892,40.7140224706167
"89836_2",89836,-74.0040202297504,40.7145589391323
"121112_1",121112,-73.9506433116655,40.7990927148374
"121112_2",121112,-73.9504847083027,40.7992020978621
"121112_3",121112,-73.9501379602132,40.7997175970071
"72630_1",72630,-73.9922440279137,40.7640567790385
"72630_2",72630,-73.9929563496366,40.7643563321978
"3163_1",3163,-73.9553198471016,40.8235895588685
"3163_2",3163,-73.9550820461267,40.8240040098385
"3163_3",3163,-73.9549774878154,40.8241880297492
"3163_4",3163,-73.9549689998265,40.8242029664107
"3163_5",3163,-73.9547870142958,40.8244640029391
"3163_6",3163,-73.9546039681454,40.824694935158
